,Row,Identifier1,Identifier2,Amount_mg,C_mg,N_mg,d13C_VPDB,d15N_air,,
1,2,empty tin,tin blank,10.537,0.025602919,0.009063259,-21.76212823,Inf,,
2,3,FLOUR,QAQC1,2.415,0.994612759,0.045994023,-29.19812823,5.499863356,,
3,4,TEFF,QAQC2,2.419,1.000503682,0.045903565,-17.27112823,5.330360544,,
4,5,USGS42,reference curve,0.057,0.025938903,0.009194679,-21.64612823,8.422921294,,
5,6,USGS42,reference curve,0.133,0.064214225,0.02210628,-21.48812823,12.83364962,,
6,7,USGS42,reference curve,0.202,0.097445304,0.032676214,-22.01412823,7.587141816,,
7,8,USGS42,reference curve,0.317,0.149984276,0.049521886,-22.29212823,8.989950512,,
8,9,USGS42,reference curve,0.601,0.261378723,0.086701836,-22.42012823,9.556391248,,
9,10,USGS42,reference curve,1.012,0.453400423,0.151747975,-23.06012823,8.9239333,,
10,11,USGS42,reference curve,1.5,0.694292147,0.23281713,-23.65812823,8.447523526,,
11,12,FLOUR,QAQC1,2.415,1.034581441,0.048905747,-28.86812823,3.979864517,,
12,13,USGS42,standard,0.345,0.151910585,0.049707922,-22.28912823,7.710925696,,
13,14,TEFF,QAQC2,2.433,1.052778347,0.047893641,-16.59712823,7.44252598,,
24,25,FLOUR,QAQC1,2.418,1.002533027,0.048994498,-28.35712823,3.190062276,,
25,26,USGS42,standard,0.357,0.152345125,0.052897847,-22.36012823,6.71194582,,
26,27,TEFF,QAQC2,2.399,1.01928296,0.046091308,-16.62012823,6.109820811,,
37,38,FLOUR,QAQC1,2.416,1.036583907,0.049332436,-28.34512823,-0.549700906,,
38,39,USGS42,standard,0.35,0.154473025,0.052273175,-22.64712823,5.376824702,,
39,40,TEFF,QAQC2,2.43,1.05397893,0.048014821,-16.58612823,8.89100047,,
48,51,FLOUR,QAQC1,2.398,1.027924474,0.050044153,-28.36012823,4.402740178,,
49,52,USGS42,standard,0.343,0.159333597,0.052225385,-22.50812823,9.230207633,,
50,53,TEFF,QAQC2,2.418,1.021657248,0.048915988,-16.77612823,7.21907887,,
61,64,FLOUR,QAQC1,2.423,1.016245663,0.04935633,-28.73512823,4.424485648,,
62,65,USGS42,standard,0.343,0.140693192,0.050743922,-21.59912823,9.725979612,,
63,66,TEFF,QAQC2,2.413,0.972643871,0.045661206,-17.31312823,7.824538443,,
64,67,C7W9,sample,71.936,0.35277091,0.035739839,-28.28612823,19.94920667,C7,AMBS
65,68,C8W9,sample,70.264,0.336930374,0.035659622,-27.85012823,13.28241328,C8,AMBL
66,69,D10W9,sample,68.397,0.312040663,0.026956878,-28.39712823,15.95902777,D10,CTRL
67,70,D9W9,sample,70.73,0.851810507,0.098027862,-29.70512823,20.97409563,d9,ACTS
68,71,A4W9,sample,70.338,0.271910708,0.025722894,-27.81312823,11.22547293,a4,AMBS
69,72,B2W9,sample,70.875,1.053427916,0.125170387,-30.11512823,22.82007183,b2,AMBS
70,73,E5W9,sample,70.581,0.23099679,0.02699272,-27.55812823,4.938910397,e5,CTRL
71,74,B5W9,sample,70.058,0.457324718,0.047980686,-28.26812823,16.39168071,b5,ACTS
72,75,B8W9,sample,70.259,0.851192296,0.083530685,-29.89112823,24.32887964,b8,CTRL
73,76,B4W9,sample,70.76,0.553622275,0.063587253,-28.37712823,15.10483631,b4,AMBL
74,77,FLOUR,QAQC1,2.47,0.982696519,0.048721417,-29.06112823,3.981040796,,#N/A
75,78,USGS42,standard,0.348,0.11434307,0.047117068,-20.67312823,8.301284586,,#N/A
76,79,TEFF,QAQC2,2.59,0.906741687,0.044961436,-16.90012823,8.506557317,,#N/A
77,80,A5W9,sample,70.835,0.447769327,0.034964972,-28.38712823,24.87632003,a5,AMBS
78,81,D2W9,sample,70.818,0.295272811,0.025746789,-27.47912823,13.44409136,d2,ACTS
79,82,B6W9,sample,69.969,0.386799391,0.043765001,-28.07412823,16.25718213,b6,AMBS
80,83,A7W9,sample,68.421,0.344581855,0.032792273,-27.58412823,15.35015285,a7,ACTS
81,84,B7W9,sample,70.489,0.237004188,0.022901628,-27.30412823,10.06069515,b7,AMBL
82,85,C6W9,sample,70.395,1.034989102,0.126295138,-32.24812823,27.77559982,c6,ACTL
83,86,A8W9,sample,70.023,0.302910852,0.033254804,-26.91512823,9.489136914,a8,ACTL
84,87,D3W9,sample,70.644,0.520395676,0.06288407,-27.45712823,14.98351923,d3,AMBL
85,88,E10W9,sample,70.269,0.521945683,0.055864187,-27.85112823,17.31376851,E10,ACTS
86,89,A10W9,sample,70.15,0.199521789,0.020879123,-26.70212823,2.936720413,A10,ACTS
87,90,FLOUR,QAQC1,2.36,0.907453973,0.045415433,-28.69012823,4.775137459,,#N/A
88,91,USGS42,standard,0.296,0.225316417,0.090680282,-20.28812823,10.52161836,,#N/A
89,92,TEFF,QAQC2,2.212,0.839450768,0.040694549,-17.26412823,8.940399666,,#N/A
90,93,C9W9,sample,69.918,0.431987029,0.053387686,-26.96712823,18.61497328,C9,ACTS
91,94,E4W9,sample,70.661,0.181011298,0.018648395,-26.07412823,5.857352409,E4,AMBL
92,95,B3W9,sample,70.223,0.35488985,0.040264447,-27.25612823,17.79925314,B3,AMBS
93,96,E2W9,sample,69.955,0.918398099,0.055959765,-30.07612823,45.2345316,E2,AMBS
94,97,C4W9,sample,70.129,0.886802143,0.108899891,-29.08412823,19.34762439,C4,ACTL
95,98,C10W9,sample,70.479,0.785204996,0.095742517,-28.31112823,17.96865301,C10,AMBS
96,99,B10W9,sample,70.35,0.186360167,0.019677568,-25.45312823,-2.127437793,B10,AMBL
97,100,C3W9,sample,69.935,0.524046704,0.06635049,-27.52712823,16.50370368,C3,CTRL
98,101,D7W9,sample,69.757,0.128333453,0.014091359,-25.32012823,-4.876305407,D7,ACTL
99,102,A3W9,sample,69.995,0.434639064,0.050438413,-26.52512823,16.93146981,A3,ACTL
100,103,FLOUR,QAQC1,2.457,0.986347547,0.049661839,-29.39212823,4.320393743,,#N/A
101,104,USGS42,standard,0.357,0.117581958,0.047958498,-19.76612823,9.115424128,,#N/A
102,105,TEFF,QAQC2,2.241,0.932316805,0.048489299,-18.14512823,9.46998643,,#N/A
103,106,A9W9,sample,70.371,0.747426931,0.077128647,-29.53712823,26.39768986,A9,AMBS
104,107,E1W9,sample,70.641,0.746289064,0.08639974,-29.45212823,21.36930971,E10,ACTS
105,108,D1W9,sample,70.526,0.268774856,0.031537808,-27.65312823,10.57619829,D1,ACTS
106,109,A6W9,sample,70.375,0.441703692,0.077625313,-27.41412823,10.02946366,A6,CTRL
107,110,D4W9,sample,70.802,0.183336309,0.044859031,-26.73412823,1.805290597,D4,CTRL
108,111,A2W9,sample,69.951,0.127854115,0.015787873,-26.63512823,2.51290158,A2,CTRL
109,112,D5W9,sample,70.15,0.331353036,0.09211737,-16.86712823,7.616258581,D5,CTRL
110,113,A1W9,sample,70.297,0.514168768,0.125095289,-34.07112823,14.94304977,A1,AMBL
111,114,mystery 1,sample,NA,NA,0.02821817,NA,2.607794706,,#N/A
112,115,mystery 2,sample,NA,0.036569444,0.016444974,-20.77812823,10.89288543,,#N/A
113,116,FLOUR,QAQC1,2.476,0.998971594,0.06281068,-29.24412823,63.73569073,,#N/A
114,117,USGS42,standard,0.304,0.109437701,0.066480203,-21.05812823,5.755789464,,#N/A
115,118,TEFF,QAQC2,2.468,0.951884526,0.04798922,-17.26312823,9.57001043,,#N/A
,,,40,,,,,,,
