Filter#,PreWeight
FA102,0.091
FA103,0.0912
FA078,0.0919
FA079,0.0914
FA096,0.0911
FA097,0.0908
FA100,0.0917
FA101,0.0914
FA076,0.0908
FA077,0.0907
FA074,0.0911
FA075,0.0912
FA098,0.0922
FA099,0.0918
FA080,0.0911
FA081,0.0917
FA092,0.0914
FA093,0.0915
FA082,0.0918
FA083,0.0913
FA068,0.0921
FA069,0.0925
FA017,0.0953
FA018,0.0955
FA088,0.0929
FA089,0.0919
FA070,0.0914
FA071,0.0918
FA084,0.0908
FA085,0.0909
FA066,0.0901
FA067,0.0913
FA090,0.0918
FA091,0.091
FA086,0.092
FA087,0.0913
FA005,0.0937
FA006,0.0947
FA011,0.0974
FA012,0.095
FA007,0.0955
FA008,0.095
FA001,0.0945
FA002,0.095
FA054,0.0916
FA055,0.0906
FA052,0.0917
FA053,0.0915
FA023,0.0937
FA024,0.0944
FA003,0.0944
FA004,0.0947
FA072,0.092
FA073,0.0919
FA046,0.0946
FA047,0.096
FA094,0.0908
FA095,0.091
FA009,0.0953
FA010,0.0951
FA058,0.0914
FA059,0.093
FA025,0.0956
FA026,0.0954
FA042,0.0961
FA043,0.0954
FA033,0.0949
FA034,0.094
FA027,0.0953
FA028,0.0966
FA029,0.0955
FA030,0.0957
FA040,0.0963
FA041,0.0965
FA044,0.0949
FA045,0.0967
FA060,0.0915
FA061,0.0912
FA013,0.094
FA014,0.0936
FA015,0.0947
FA016,0.0944
FA031,0.096
FA032,0.0958
FA064,0.0908
FA065,0.0909
FA056,0.0906
FA057,0.0904
FA019,0.0945
FA020,0.0961
FA021,0.0964
FA022,0.0949
FA050,0.0929
FA051,0.0917
FA048,0.0926
FA049,0.0914
FA038,0.0958
FA039,0.0965
FA035,0.0961
FA036,0.0955
FA037,0.096
FA062,0.0917
FA063,0.0915
FA104,0.091
FA105,0.0904
FA106,0.0906
FA107,0.0911
FA108,0.0922
FA109,0.0917
FA110,0.091
FA111,0.0899
FA112,0.093
FA113,0.0915
FA114,0.091
FA115,0.0911
FA116,0.0913
FA117,0.0918
FA118,0.0906
FA119,0.0921
FA120,0.0921
FA121,0.0921
FA122,0.0929
FA123,0.0913
FA124,0.0918
FA125,0.0908
FA126,0.0916
FA127,0.0915
FA128,0.0911
FA129,0.0906
FA130,0.0923
FA131,0.0915
FA132,0.0911
FA133,0.0898
FA134,0.0914
FA135,0.0938
FA136,0.0913
FA137,0.0911
FA138,0.0917
FA139,0.09
FA140,0.0918
FA141,0.0917
FA142,0.0918
FA143,0.0912
FA144,0.0916
FA145,0.0921
FA146,0.0909
FA147,0.0903
FA148,0.0908
FA149,0.0912
FA150,0.0915
FA151,0.0906
FA152,0.0918
FA153,0.0914
FA154,0.0928
FA155,0.0919
FA156,0.0919
FA157,0.0912
FA158,0.0914
FA159,0.0914
FA160,0.0922
FA161,0.0916
FA162,0.0905
FA163,0.0911
FA164,0.0903
FA165,0.0908
FA166,0.0917
FA167,0.0907
FA168,0.0911
FA169,0.0922
FA170,0.0917
FA171,0.0912
FA172,0.0914
FA173,0.0899
FA174,0.0914
FA175,0.0904
FA176,0.0908
FA177,0.0928
FA178,0.0905
FA179,0.0907
FA180,0.0968
FA181,0.0968
FA182,0.0961
FA183,0.0956
FA184,0.096
FA185,0.0966
FA186,0.0976
FA187,0.0971
FA188,0.0959
FA189,0.0977
FA190,0.0981
FA191,0.0994
FA192,0.0968
FA193,0.0964
FA194,0.0982
FA195,0.0983
FA196,0.0962
FA197,0.0952
FA198,0.0968
FA199,0.0984
FA200,0.0985
FA201,0.0991
FA202,0.0982
FA203,0.0971
FA204,0.0963
FA205,0.0985
FA206,0.0973
FA207,0.0981
FA208,0.0961
FA209,0.0947
FA210,0.0998
FA211,0.092
FA212,0.0924
FA213,0.0929
FA214,0.092
FA215,0.0919
FA216,0.0919
FA217,0.0916
FA218,0.0917
FA219,0.0919
FA220,0.0912
FA221,0.0921
FA222,0.0916
FA223,0.0912
FA224,0.0916
FA225,0.0913
FA226,0.0926
FA227,0.0915
FA228,0.0915
FA229,0.0913
FA230,0.0922
FA231,0.0918
FA232,0.092
FA233,0.0921
FA234,0.0911
FA235,0.0925
FA236,0.0923
FA237,0.0917
FA238,0.0915
FA239,0.0914
FA240,0.0921
FA241,0.0914
FA242,0.0914
FA243,0.0921
FA244,0.0918
FA245,0.0914
FA246,0.0918
FA247,0.0924
FA248,0.0926
FA249,0.0916
FA250,0.0911
FA251,0.0916
FA252,0.0916
FA253,0.0907
FA254,0.092
FA255,0.0915
FA256,0.0913
FA257,0.091
FA258,0.0917
FA259,0.0923
FA260,0.0925
FA261,0.0915
FA262,0.091
FA263,0.0903
FA264,0.0905
FA265,0.0901
FA266,0.0908
FA267,0.0904
FA268,0.091
FA269,0.0899
FA270,0.0905
FA271,0.0897
FA272,0.0904
FA273,0.0902
FA274,0.0906
FA275,0.0891
FA276,0.0928
FA277,0.0909
FA278,0.0922
FA279,0.0923
FA280,0.091
FA281,0.0925
FA282,0.0919
FA283,0.0915
FA284,0.0918
FA285,0.0919
FA286,0.0919
FA287,0.0922
FA288,0.0917
FA289,0.0928
FA290,0.0919
FA291,0.0924
FA292,0.0911
FA293,0.0918
FA294,0.0923
FA295,0.0928
FA296,0.0918
FA297,0.0918
FA298,0.0921
FA299,0.0913
FA300,0.0922
FA301,0.092
FA302,0.092
FA303,0.0916
FA304,0.0901
FA305,0.0908
